         19638 function calls (19621 primitive calls) in 0.030 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(searchsorted)
        4    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
        2    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 threading.py:81(RLock)
        1    0.000    0.000    0.000    0.000 _methods.py:54(_any)
        2    0.000    0.000    0.000    0.000 {method 'strip' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 parallel.py:345(__init__)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ravel)
        1    0.000    0.000    0.000    0.000 version.py:110(__ge__)
        1    0.000    0.000    0.000    0.000 multiclass.py:178(check_classification_targets)
        1    0.000    0.000    0.000    0.000 queue.py:205(_init)
        1    0.000    0.000    0.000    0.000 shape_base.py:600(<listcomp>)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:609(__init__)
        4    0.000    0.000    0.000    0.000 arraysetops.py:133(_unique_dispatcher)
        2    0.000    0.000    0.000    0.000 _parallel_backends.py:137(retrieval_context)
        3    0.000    0.000    0.000    0.000 parallel.py:275(__len__)
        3    0.000    0.000    0.000    0.000 version.py:482(<lambda>)
        1    0.000    0.000    0.000    0.000 parallel.py:877(print_progress)
        1    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 multiarray.py:1071(copyto)
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        1    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1961(_shape_dispatcher)
        2    0.000    0.000    0.000    0.000 version.py:455(_parse_local_version)
        1    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        2    0.000    0.000    0.000    0.000 _parallel_backends.py:89(compute_batch_size)
        1    0.000    0.000    0.000    0.000 process.py:37(current_process)
        1    0.000    0.000    0.000    0.000 multiarray.py:148(concatenate)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:2300(_any_dispatcher)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:200(effective_n_jobs)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1965(shape)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:574(get)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2079(_clip_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:93(batch_completed)
        1    0.000    0.000    0.000    0.000 _optimize.py:147(_check_unknown_options)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1315(_searchsorted_dispatcher)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:83(stop_call)
        1    0.000    0.000    0.000    0.000 shape_base.py:508(_expand_dims_dispatcher)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1751(_ravel_dispatcher)
        1    0.000    0.000    0.000    0.000 _optimize.py:255(hess)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:80(start_call)
        1    0.000    0.000    0.000    0.000 contextlib.py:59(_recreate_cm)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:86(terminate)
        1    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 parallel.py:216(__enter__)
        1    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}


